Names,new_code,LA_code,Boroughs,childhood_obesity,reception_number_measured,reception_number_obese,reception_obese_rate,year6_number_measured,year6_number_obese,year6_obese_rate
Carshalton South and Clockhouse,E05000559,E09000029,Sutton,0.09,373,22,0.06,254,37,0.15
Cheam,E05000560,E09000029,Sutton,0.1,266,19,0.07,295,37,0.13
Nonsuch,E05000561,E09000029,Sutton,0.08,302,14,0.05,318,34,0.11
St Helier,E05000562,E09000029,Sutton,0.19,522,60,0.12,475,126,0.27
Stonecot,E05000563,E09000029,Sutton,0.15,341,29,0.09,404,82,0.2
Sutton Central,E05000564,E09000029,Sutton,0.14,441,40,0.09,281,58,0.21
Sutton North,E05000565,E09000029,Sutton,0.14,402,38,0.1,322,65,0.2
Sutton South,E05000566,E09000029,Sutton,0.12,279,23,0.08,192,35,0.18
Sutton West,E05000567,E09000029,Sutton,0.12,348,29,0.08,239,41,0.17
The Wrythe,E05000568,E09000029,Sutton,0.15,398,32,0.08,296,71,0.24
Wallington North,E05000569,E09000029,Sutton,0.11,417,30,0.07,306,48,0.16
Wallington South,E05000570,E09000029,Sutton,0.15,339,28,0.08,253,62,0.25
Wandle Valley,E05000571,E09000029,Sutton,0.16,499,50,0.1,382,87,0.23
Worcester Park,E05000572,E09000029,Sutton,0.12,464,37,0.08,340,62,0.18
Bethnal Green,E05009317,E09000030,Tower Hamlets,0.19,679,94,0.14,593,142,0.24
Blackwall & Cubitt Town,E05009318,E09000030,Tower Hamlets,0.17,397,42,0.11,304,77,0.25
Bow East,E05009319,E09000030,Tower Hamlets,0.19,454,65,0.14,379,94,0.25
Bow West,E05009320,E09000030,Tower Hamlets,0.16,386,41,0.11,346,79,0.23
Bromley North,E05009321,E09000030,Tower Hamlets,0.21,357,43,0.12,296,92,0.31
Bromley South,E05009322,E09000030,Tower Hamlets,0.17,583,74,0.13,513,112,0.22
Canary Wharf,E05009323,E09000030,Tower Hamlets,0.17,310,30,0.1,274,70,0.26
Island Gardens,E05009324,E09000030,Tower Hamlets,0.16,346,28,0.08,230,61,0.27
Lansbury,E05009325,E09000030,Tower Hamlets,0.18,794,102,0.13,709,174,0.25
Limehouse,E05009326,E09000030,Tower Hamlets,0.19,176,21,0.12,142,39,0.28
Mile End,E05009327,E09000030,Tower Hamlets,0.2,766,90,0.12,682,202,0.3
Poplar,E05009328,E09000030,Tower Hamlets,0.2,258,37,0.14,219,56,0.26
St Dunstan's,E05009329,E09000030,Tower Hamlets,0.18,473,56,0.12,433,111,0.26
St Katharine's & Wapping,E05009330,E09000030,Tower Hamlets,0.13,297,28,0.09,190,35,0.18
St Peter's,E05009331,E09000030,Tower Hamlets,0.21,537,84,0.16,482,125,0.26
Shadwell,E05009332,E09000030,Tower Hamlets,0.21,437,70,0.16,394,106,0.27
Spitalfields & Banglatown,E05009333,E09000030,Tower Hamlets,0.2,323,46,0.14,331,82,0.25
Stepney Green,E05009334,E09000030,Tower Hamlets,0.19,507,66,0.13,448,119,0.27
Weavers,E05009335,E09000030,Tower Hamlets,0.21,382,56,0.15,340,92,0.27
Whitechapel,E05009336,E09000030,Tower Hamlets,0.18,507,69,0.14,341,86,0.25
Cann Hall,E05000590,E09000031,Waltham Forest,0.16,582,63,0.11,425,102,0.24
Cathall,E05000591,E09000031,Waltham Forest,0.18,464,55,0.12,402,101,0.25
Chapel End,E05000592,E09000031,Waltham Forest,0.16,634,64,0.1,493,112,0.23
Chingford Green,E05000593,E09000031,Waltham Forest,0.13,321,27,0.08,270,48,0.18
Endlebury,E05000594,E09000031,Waltham Forest,0.14,338,30,0.09,325,64,0.2
Forest,E05000595,E09000031,Waltham Forest,0.15,447,42,0.09,338,77,0.23
Grove Green,E05000596,E09000031,Waltham Forest,0.18,517,56,0.11,315,97,0.31
Hale End and Highams Park,E05000597,E09000031,Waltham Forest,0.13,447,31,0.07,430,85,0.2
Hatch Lane,E05000598,E09000031,Waltham Forest,0.13,385,31,0.08,376,68,0.18
High Street,E05000599,E09000031,Waltham Forest,0.16,629,63,0.1,385,94,0.24
Higham Hill,E05000600,E09000031,Waltham Forest,0.18,595,61,0.1,553,148,0.27
Hoe Street,E05000601,E09000031,Waltham Forest,0.17,522,56,0.11,389,100,0.26
Larkswood,E05000602,E09000031,Waltham Forest,0.16,393,44,0.11,338,69,0.2
Lea Bridge,E05000603,E09000031,Waltham Forest,0.16,694,79,0.11,492,116,0.24
Leyton,E05000604,E09000031,Waltham Forest,0.18,628,84,0.13,509,115,0.23
Leytonstone,E05000605,E09000031,Waltham Forest,0.13,372,37,0.1,287,51,0.18
Markhouse,E05000606,E09000031,Waltham Forest,0.17,591,63,0.11,448,112,0.25
Valley,E05000607,E09000031,Waltham Forest,0.18,454,52,0.12,413,100,0.24
William Morris,E05000608,E09000031,Waltham Forest,0.17,600,69,0.12,457,107,0.23
Wood Street,E05000609,E09000031,Waltham Forest,0.17,683,82,0.12,476,116,0.24
Balham,E05000610,E09000032,Wandsworth,0.1,253,14,0.06,186,29,0.16
Bedford,E05000611,E09000032,Wandsworth,0.12,269,22,0.08,225,36,0.16
Earlsfield,E05000612,E09000032,Wandsworth,0.14,418,41,0.1,260,56,0.22
East Putney,E05000613,E09000032,Wandsworth,0.11,257,18,0.07,190,29,0.15
Fairfield,E05000614,E09000032,Wandsworth,0.13,255,19,0.08,151,32,0.21
Furzedown,E05000615,E09000032,Wandsworth,0.14,622,63,0.1,515,98,0.19
Graveney,E05000616,E09000032,Wandsworth,0.15,552,60,0.11,385,84,0.22
Latchmere,E05000617,E09000032,Wandsworth,0.2,510,70,0.14,423,113,0.27
Nightingale,E05000618,E09000032,Wandsworth,0.11,241,10,0.04,178,34,0.19
Northcote,E05000619,E09000032,Wandsworth,0.05,493,17,0.03,202,17,0.08
Queenstown,E05000620,E09000032,Wandsworth,0.17,379,42,0.11,269,70,0.26
Roehampton and Putney Heath,E05000621,E09000032,Wandsworth,0.16,559,66,0.12,438,95,0.22
St Mary's Park,E05000622,E09000032,Wandsworth,0.18,299,38,0.13,260,63,0.24
Shaftesbury,E05000623,E09000032,Wandsworth,0.14,219,17,0.08,145,35,0.24
Southfields,E05000624,E09000032,Wandsworth,0.11,530,35,0.07,345,57,0.17
Thamesfield,E05000625,E09000032,Wandsworth,0.08,349,16,0.05,176,24,0.14
Tooting,E05000626,E09000032,Wandsworth,0.15,527,56,0.11,413,84,0.2
Wandsworth Common,E05000627,E09000032,Wandsworth,0.12,338,29,0.09,198,34,0.17
West Hill,E05000628,E09000032,Wandsworth,0.15,481,46,0.1,427,89,0.21
West Putney,E05000629,E09000032,Wandsworth,0.16,370,46,0.12,295,61,0.21
Abbey Road,E05000630,E09000033,Westminster,0.15,106,9,0.09,82,19,0.23
Bayswater,E05000631,E09000033,Westminster,0.16,84,8,0.1,91,20,0.22
Bryanston and Dorset Square,E05000632,E09000033,Westminster,0.22,123,15,0.12,94,32,0.34
Churchill,E05000633,E09000033,Westminster,0.21,308,45,0.15,286,77,0.27
Church Street,E05000634,E09000033,Westminster,0.2,399,55,0.14,458,120,0.26
Harrow Road,E05000635,E09000033,Westminster,0.2,348,38,0.11,309,91,0.29
Hyde Park,E05000636,E09000033,Westminster,0.16,121,14,0.12,98,21,0.21
Knightsbridge and Belgravia,E05000637,E09000033,Westminster,,28,,,23,,
Lancaster Gate,E05000638,E09000033,Westminster,0.14,134,8,0.06,123,28,0.23
Little Venice,E05000639,E09000033,Westminster,0.15,186,17,0.09,164,35,0.21
Maida Vale,E05000640,E09000033,Westminster,0.16,248,21,0.09,202,51,0.25
Marylebone High Street,E05000641,E09000033,Westminster,,80,8,0.1,54,,
Queen's Park,E05000642,E09000033,Westminster,0.2,390,43,0.11,415,121,0.29
Regent's Park,E05000643,E09000033,Westminster,0.14,159,12,0.08,144,30,0.21
St James's,E05000644,E09000033,Westminster,0.19,119,15,0.13,92,24,0.26
Tachbrook,E05000645,E09000033,Westminster,0.22,107,14,0.13,100,32,0.32
Vincent Square,E05000646,E09000033,Westminster,0.16,221,22,0.1,165,41,0.25
Warwick,E05000647,E09000033,Westminster,0.19,126,17,0.14,111,28,0.25
Westbourne,E05000648,E09000033,Westminster,0.19,418,49,0.12,433,115,0.27
West End,E05000649,E09000033,Westminster,,75,,,67,16,0.24
